player,oreb,dreb,foul,stl,to,blk,asst,pts,dnp,fgm,fga,3pm,3pa,ftm,fta,game_date,location,opponent
 B. Rankin,1,1,0,1,0,1,0,5,False,2,3,1,1,0,0,2026-02-03,away,MV
 K. Johnson,2,3,0,1,1,0,1,3,False,1,2,1,1,0,0,2026-02-03,away,MV
 E. Dejesus,1,0,0,0,0,0,0,2,False,1,3,0,1,0,0,2026-02-03,away,MV
 J. Constantine,2,0,0,0,0,1,0,1,False,0,1,0,1,1,2,2026-02-03,away,MV
 N. Gabriel,0,0,0,0,1,0,0,0,False,0,1,0,1,0,0,2026-02-03,away,MV
 H. Mollman,1,0,0,0,0,0,0,0,False,0,1,0,0,0,0,2026-02-03,away,MV
 D. Harris,0,0,0,0,0,0,0,0,False,0,2,0,2,0,0,2026-02-03,away,MV
 B. Novotny,0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,2026-02-03,away,MV
 G. Tittle,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,2026-02-03,away,MV
 O. Arceo,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-03,away,MV
 G. Palazzo,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-03,away,MV
 C. Hall,1,0,0,6,3,0,0,10,False,4,11,2,4,0,0,2026-02-05,away,FSK
 B. Rankin,2,1,0,0,2,1,1,9,False,3,8,1,2,2,4,2026-02-05,away,FSK
 E. Rhyne,3,2,0,2,0,0,2,6,False,3,10,0,0,0,1,2026-02-05,away,FSK
 K. Johnson,0,2,0,2,0,0,0,5,False,2,4,1,2,0,0,2026-02-05,away,FSK
 J. Abreu,2,1,0,1,1,0,4,4,False,1,7,0,4,2,6,2026-02-05,away,FSK
 C. Yinger,2,2,0,1,2,1,0,3,False,1,4,1,4,0,0,2026-02-05,away,FSK
 R. Messier,3,7,0,1,4,0,1,3,False,1,4,1,1,0,2,2026-02-05,away,FSK
 E. Dejesus,0,0,0,1,0,0,0,3,False,1,1,1,1,0,0,2026-02-05,away,FSK
 N. Gabriel,0,0,0,0,0,0,1,0,False,0,1,0,1,0,0,2026-02-05,away,FSK
 H. Mollman,0,1,0,0,0,0,0,0,False,0,1,0,0,0,0,2026-02-05,away,FSK
 J. Constantine,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-05,away,FSK
 G. Tittle,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-05,away,FSK
 B. Novotny,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-05,away,FSK
 O. Arceo,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-05,away,FSK
 D. Harris,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-05,away,FSK
 G. Palazzo,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-02-05,away,FSK
